TF_Group	S9_Z05
AcnR	469197.1865959993
AgaR	2051995.0509890206
AmtR	1363186.2669860073
AraR	1625549.5954339886
ArgR	6770989.323333157
BioQ	856472.187491005
BirA	4963259.877970978
CadR-PbrR	2414825.1632159892
CblR	1521266.9922869864
CcpA	2015252.155374011
CsoR	664160.8466879993
CueR	2721332.211386052
CzrA	3174122.9520549783
DasR	659323.1612829983
ExuR_UxuR	1923411.2717969853
FabR	1521300.3428020058
FadP	305079.30348
FadR	1059436.0772880043
FixJ	477735.1329680026
FnrN_FixK	1252013.129610011
FruR	1064513.8651700027
FUR	6142371.57842417
GguR	435037.39040600177
GlcC	1414863.916157002
GntR	2057637.7275050161
GulR	1284584.9161340087
HcpR	1953183.998780997
HexR	2566483.523914996
HisR	1717307.8316580243
HrcA	2925679.4117549583
HutC	2869077.481609999
HypR	2472216.3192539783
Irr	1152791.8133830018
IscR	4598958.07075692
KdgR	3084500.1617900026
LexA	5199388.005302181
LiuQ	685971.9560839992
LiuR	1693161.0408790107
LldR	3570196.1393170017
LtbR	1347646.5187719923
MerR	893831.27789399
MetJ	730983.2072359954
MetR	4638415.913239016
MntR	5835812.234109128
ModE	5798418.97755812
NadQ	2184213.6115779984
NagC	4461283.878974977
NagQ	2949326.3832559735
NagR	2067186.7781949823
NarP	887852.7130060005
NiaR	1577082.0878500112
NifA	841051.9165110056
NikR	2322129.0555959893
NmlR	1202796.5736550074
NnrR	1205625.7779070074
NorR	1945623.1620059735
NrdR	4546110.537306014
NrtR	7609711.696338274
NsrR	5865555.330361135
NtrC	2350085.605817966
PaaR	2253497.4513250077
PdhR	1477916.6417019959
PdxR	5977818.201051059
PhnF	2164604.8165229918
PhnR	2123260.130184001
Phr	3021805.1181950173
PhrR	1526127.5517090054
PhsR	593397.7117530028
PrpR	1381263.6887129839
PsrA	3201166.015704009
PurR	565003.5048969947
QorR	1143145.2837990085
RbkR	2966428.4404490287
RbsR	2489105.4289489877
Rex	3594204.1828260026
RutR	3327950.37997994
SahR_SamR	4151205.4258909603
SdaR	2594940.0480140196
SiaR	1675916.3115830082
SoxR	2322627.594175975
ThiR	3527698.593766003
TrpR	1955840.3631179912
TtrR	755619.7164070024
TyrR	1942945.8650580358
VanR	1933426.285470033
XylR	1806816.4072920098
ZntR	1231020.6662959885
Zur	7648374.50662516
